query_id,product_id,label_accurate,reformulated_query
6014,B01G1RYHAO,True,
6014,B07FP5DNBG,True,
6014,B07F7RH8D4,True,
6014,B01B8R6PF2,True,
6014,B00LHSAARW,False,AA batteries 60 pack
6014,B00KMDL8U6,True,
6014,B004SCA15K,True,
6014,B01B8R6V2E,False,aaa batteries 100 pack
32814,B07TWK2S22,False,DEWALT 12V MAX cordless screwdriver kit
32814,B0812ZHY5N,False,Enertwist 8V max cordless screwdriver kit with gyroscopic control
32814,B07S7F53YK,True,
32814,B00EUHAGX0,False,dewalt 8v max battery charger
32814,B00DL7QDS2,True,
32814,B011WRUODC,True,
58953,B085G3MGFR,True,
58953,B085F42SV6,False,kodak photo paper 8.5 x 11 matte 100 count
58953,B01M0L2WLF,True,
58953,B01JB7D4SW,True,
58953,B000EZTYHG,True,
58953,B000EZTYG2,True,
58953,B000EZTYCG,True,
58953,B000EZ0CTK,False,Kodak photo paper 8.5 x 11 matte
58953,B000EYAKKW,True,
58953,B000EYAKJS,True,
